"persid","cluster_id","household_id","participant_id","age","sex","year","trip_id","trip_purpose","participant_wt","trips_wt","trip_mode_base","trip_duration_base","trip_distance_base","day_type","trip_id_2","age_group","dist_cat","trip_mode_scen","trip_distance_scen","trip_duration_scen","trip_duration_base_hrs","trip_duration_scen_hrs"
"y18h3090333p02",30,90333,4866,65,"female",18,20452,"Leisure",236.95,236.95,"walking",0.5,1.1,"weekday",1,"65 plus","1-2km","walking",1.1,0.5,3.5,3.5
"y18h3090333p02",30,90333,4866,65,"female",18,20453,"Leisure",236.95,236.95,"bicycle",0.833333333333333,6.94,"weekday",2,"65 plus","6-10km","bicycle",6.94,0.833333333333333,5.83333333333333,5.83333333333333
"y18h3090333p02",30,90333,4866,65,"female",18,20454,"Leisure",236.95,236.95,"bicycle",1,8.44,"weekday",3,"65 plus","6-10km","bicycle",8.44,1,7,7
"y18h3090334p01",30,90334,4867,27,"female",18,20455,"Leisure",861.67,861.67,"walking",0.0833333333333333,0.47,"weekend day",1,"20 to 39","<1km","walking",0.47,0.0833333333333333,0.583333333333333,0.583333333333333
"y18h3090334p01",30,90334,4867,27,"female",18,20456,"Shopping",861.67,861.67,"walking",0.216666666666667,0.4,"weekend day",2,"20 to 39","<1km","walking",0.4,0.216666666666667,1.51666666666667,1.51666666666667
"y18h3090334p01",30,90334,4867,27,"female",18,20457,"Shopping",861.67,861.67,"walking",0.466666666666667,0.8,"weekend day",3,"20 to 39","<1km","walking",0.8,0.466666666666667,3.26666666666667,3.26666666666667
"y18h3090334p01",30,90334,4867,27,"female",18,20458,"Shopping",861.67,861.67,"car",1,49.64,"weekend day",4,"20 to 39",">10km","car",49.64,1,7,7
"y18h3090334p01",30,90334,4867,27,"female",18,20459,"Leisure",861.67,861.67,"car",0.166666666666667,3.36,"weekend day",5,"20 to 39","3-5km","car",3.36,0.166666666666667,1.16666666666667,1.16666666666667
"y18h3090336p01",30,90336,4868,61,"female",18,20460,"Work",232.27,232.27,"walking",0.333333333333333,1.72,"weekday",1,"40 to 64","1-2km","walking",1.72,0.333333333333333,2.33333333333333,2.33333333333333
"y18h3090336p01",30,90336,4868,61,"female",18,20461,"Leisure",232.27,232.27,"walking",0.166666666666667,0.64,"weekday",2,"40 to 64","<1km","walking",0.64,0.166666666666667,1.16666666666667,1.16666666666667
