"year","sex","brsc","utrc","tbalc","carc","kdnc","bldc","lvrc","mltm","chml","espc","stmc","hanc","rctc","ishd","strk","dmt2","adaod","prkd","dprd"
66,"female",0.874396135265701,1.03571428571429,1.04979253112033,0.896825396825397,0.869565217391304,0.904761904761905,1.28947368421053,0.96,0.5,0.916666666666667,0.714285714285714,0.764705882352941,1.13888888888889,0.787746708620987,0.787746708620987,1,1.00143821882131,0.985334499095229,1
67,"female",0.874396135265701,1.03571428571429,1.04979253112033,0.896825396825397,0.869565217391304,0.904761904761905,1.28947368421053,0.96,0.5,0.916666666666667,0.714285714285714,0.764705882352941,1.13888888888889,0.787746708620987,0.787746708620987,1,1.00143821882131,0.985334499095229,1
68,"female",0.874396135265701,1.03571428571429,1.04979253112033,0.896825396825397,0.869565217391304,0.904761904761905,1.28947368421053,0.96,0.5,0.916666666666667,0.714285714285714,0.764705882352941,1.13888888888889,0.787746708620987,0.787746708620987,1,1.00143821882131,0.985334499095229,1
69,"female",0.874396135265701,1.03571428571429,1.04979253112033,0.896825396825397,0.869565217391304,0.904761904761905,1.28947368421053,0.96,0.5,0.916666666666667,0.714285714285714,0.764705882352941,1.13888888888889,0.787746708620987,0.787746708620987,1,1.00143821882131,0.985334499095229,1
7,"female",0.918132238075077,1.02258203943235,1.03140560311223,0.933050234225713,0.914900998542118,0.938296320049941,1.1756078826917,0.97435688292573,0.643332449004716,0.946134184161958,0.807252561660234,0.843063121959002,1.13888888888889,0.787746708620987,0.787746708620987,1,1.00143821882131,0.985334499095229,1
70,"female",0.874396135265701,1.03571428571429,1.04979253112033,0.896825396825397,0.869565217391304,0.904761904761905,1.28947368421053,0.96,0.5,0.916666666666667,0.714285714285714,0.764705882352941,1.13888888888889,0.787746708620987,0.787746708620987,1,1.00143821882131,0.985334499095229,1
71,"female",0.874396135265701,1.03571428571429,1.04979253112033,0.896825396825397,0.869565217391304,0.904761904761905,1.28947368421053,0.96,0.5,0.916666666666667,0.714285714285714,0.764705882352941,1.13888888888889,0.787746708620987,0.787746708620987,1,1.00143821882131,0.985334499095229,1
72,"female",0.874396135265701,1.03571428571429,1.04979253112033,0.896825396825397,0.869565217391304,0.904761904761905,1.28947368421053,0.96,0.5,0.916666666666667,0.714285714285714,0.764705882352941,1.13888888888889,0.787746708620987,0.787746708620987,1,1.00143821882131,0.985334499095229,1
73,"female",0.874396135265701,1.03571428571429,1.04979253112033,0.896825396825397,0.869565217391304,0.904761904761905,1.28947368421053,0.96,0.5,0.916666666666667,0.714285714285714,0.764705882352941,1.13888888888889,0.787746708620987,0.787746708620987,1,1.00143821882131,0.985334499095229,1
74,"female",0.874396135265701,1.03571428571429,1.04979253112033,0.896825396825397,0.869565217391304,0.904761904761905,1.28947368421053,0.96,0.5,0.916666666666667,0.714285714285714,0.764705882352941,1.13888888888889,0.787746708620987,0.787746708620987,1,1.00143821882131,0.985334499095229,1
75,"female",0.874396135265701,1.03571428571429,1.04979253112033,0.896825396825397,0.869565217391304,0.904761904761905,1.28947368421053,0.96,0.5,0.916666666666667,0.714285714285714,0.764705882352941,1.13888888888889,0.787746708620987,0.787746708620987,1,1.00143821882131,0.985334499095229,1
76,"female",0.874396135265701,1.03571428571429,1.04979253112033,0.896825396825397,0.869565217391304,0.904761904761905,1.28947368421053,0.96,0.5,0.916666666666667,0.714285714285714,0.764705882352941,1.13888888888889,0.787746708620987,0.787746708620987,1,1.00143821882131,0.985334499095229,1
77,"female",0.874396135265701,1.03571428571429,1.04979253112033,0.896825396825397,0.869565217391304,0.904761904761905,1.28947368421053,0.96,0.5,0.916666666666667,0.714285714285714,0.764705882352941,1.13888888888889,0.787746708620987,0.787746708620987,1,1.00143821882131,0.985334499095229,1
78,"female",0.874396135265701,1.03571428571429,1.04979253112033,0.896825396825397,0.869565217391304,0.904761904761905,1.28947368421053,0.96,0.5,0.916666666666667,0.714285714285714,0.764705882352941,1.13888888888889,0.787746708620987,0.787746708620987,1,1.00143821882131,0.985334499095229,1
79,"female",0.874396135265701,1.03571428571429,1.04979253112033,0.896825396825397,0.869565217391304,0.904761904761905,1.28947368421053,0.96,0.5,0.916666666666667,0.714285714285714,0.764705882352941,1.13888888888889,0.787746708620987,0.787746708620987,1,1.00143821882131,0.985334499095229,1
8,"female",0.906997280780201,1.02584940770789,1.03597192098356,0.923859107028761,0.903350139804341,0.929797954317684,1.20309518295509,0.970747657663553,0.604044722202224,0.93867966628124,0.782933840714217,0.82275148917796,1.13888888888889,0.787746708620987,0.787746708620987,1,1.00143821882131,0.985334499095229,1
80,"female",0.874396135265701,1.03571428571429,1.04979253112033,0.896825396825397,0.869565217391304,0.904761904761905,1.28947368421053,0.96,0.5,0.916666666666667,0.714285714285714,0.764705882352941,1.13888888888889,0.787746708620987,0.787746708620987,1,1.00143821882131,0.985334499095229,1
81,"female",0.874396135265701,1.03571428571429,1.04979253112033,0.896825396825397,0.869565217391304,0.904761904761905,1.28947368421053,0.96,0.5,0.916666666666667,0.714285714285714,0.764705882352941,1.13888888888889,0.787746708620987,0.787746708620987,1,1.00143821882131,0.985334499095229,1
82,"female",0.874396135265701,1.03571428571429,1.04979253112033,0.896825396825397,0.869565217391304,0.904761904761905,1.28947368421053,0.96,0.5,0.916666666666667,0.714285714285714,0.764705882352941,1.13888888888889,0.787746708620987,0.787746708620987,1,1.00143821882131,0.985334499095229,1
83,"female",0.874396135265701,1.03571428571429,1.04979253112033,0.896825396825397,0.869565217391304,0.904761904761905,1.28947368421053,0.96,0.5,0.916666666666667,0.714285714285714,0.764705882352941,1.13888888888889,0.787746708620987,0.787746708620987,1,1.00143821882131,0.985334499095229,1
